input_text,output_text
"-only few can understand Leland's character, and to do that u most likely are inborn to see both sides of life,and to face this reality is very hard and can lead some few to bad acts(like Leland's character does)but for such sad and real reasons that his intentions were good,in the sense that the intention to save another from physical or mental(in this case)pain over long time. and it is really sad how mostly everyone in this movie makes mistakes in it, but the one character to make one through good intentions is killed by it. the lesson of this movie is for the unique person to see,realize,face and make right of the real life situation u see and to make right,or inspire one who can make right of a wrong situation. but before that...u have to see both sides of something and rationalize it for the sake of long peace,and tranquility of all human life.aka-Don't BE IGNORANT",positive
"Having read some of the other comments here I was expecting something truly awful but was pleasantly surprised. REALITY CHECK: The original series wasn't that good. I think some people remember it with more affection than it deserved but apart from the car chases and Daisy Duke's legs the scripts were weak and poorly acted. The Duke boys were too intelligent and posh for backwood hicks, the shrunken Boss Hog was too cretinous to be evil and Rosco was just hyper throughout every screen moment. It's amazing the series actually lasted as long as it did because it ran out of story lines during the first series. Back to the movie. If you watch this film in it's own right, not as a direct comparison to however you remember the TV series, then it's not bad at all. The real star is of course the General Lee. The car chases and stunts are excellent and that's really what D.O.H. is all about. Johnny Knoxville is his usual eccentric self and along with Seann William Scott as Cousin Bo the pair make this film really funny in a hilarious Dumb-And-Dumber sort of way the TV series never achieved. The lovely Jessica Simpson is a natch as Miss Daisy, Burt Reynolds makes a much improved Boss Hog and M.C. Gainey makes a believably nasty Rosco P. Coltrane, the way he always should have been. If you don't like slapstick humour and crazy car stunts then you wouldn't be watching this film anyway because you should know what to expect. Otherwise if you want an entertaining car-action movie with a few good laughs that's not too taxing on the brain then go see this enjoyable romp with an open mind.",positive
Being a huge fan of Bergman I had to search literally years to find this movie (at a price less than $60 I mean) and finally bought it a few weeks ago. The basic premise of Bergmans films are the relationships between the characters and how they deal with trying situations. This film therefore is the same yet it is different because the setting is far different than most of the Bergman films the I have seen. It is set in wartime and the heros are caught in the middle. It is riveting from start to finish and it once again proves that Liv Ullman is one of the best actresses of the 20th century. A must see.,positive
"Michelle Pfeiffer and Matthew Modine are a joy to watch in this screwball comedy. Alec Baldwin, who was an up and coming star when the film was made, is a hoot. Dean Stockwell, in a sendup of John Gotti, is hysterical. But Mercedes Ruehl, as the paranoid and over the top Connie steals the movie. Jonathan Demme, previously known for wacky comedies like ""Something Wild"" and ""Melvin and Howard""-proves once again that he is a genius. I was not surprised at all when he went on to win the Oscar for directing ""Silence of The Lambs."" The performances he evokes from his actors in ""Married"" are inspired, and the audience is taken along for a wild and wooly ride. One of the cutest, most endearing films of the 80's, it stands head and shoulders above many of the satires of its era.",positive
"Is this the movie??? Is this what Indians are trying to show?? I think this is one more effort from a sick-minded director to turn down Pakistani soldiers and in fact country....but what we Pakistani's know that we are always ahead of India in every part of our lives...not only in armed counters. Well...this is bad filmed as that of Border in early 1997...and director and writer just tried to overcome a shame of defeat in Kargil by Pakistani armed forces, by creating films like these.. One thing is very clear...Whenever there will be an encounter between Pakistan and India....we will win....!!! So Mr. Dutta try to make some good movies instead of Nonsense movies like this",negative
"Cuban Blood is one of those sleeper films that has a lot to say about life in a very traditional way. I actually watched it while sailing around Cuba on a western Caribbean cruise. It details the life of an 11 year old boy in a small town in Cuba in 1958 and 1959 during the revolution. Not much time is spent on the revolution until the very end, when the Socialist regime came and took the property of the boy's father. The majority of the film is the boy's coming of age and the relationships that arise in a small town where everyone knows everyone else. There are some powerful scenes that everyone can relate to. A class A film with fine acting and directing. This is a film that tells a story with no special effects or grand schemes or real twists. It is a film about people and their lives, their mistakes, and their triumphs. A good film worth watching several times annually.",positive
"A great film requiring an acquired taste. If you're into action, wham bam films and hate serious love stories then its not for you. Otherwise, if you like to sit in front of a good intelligent movie now and again I recommend this very highly. Easily the best film produced in Bollywood this century. The only other Indian film I would give 10/10 for is Dil Wale Dulhaniya Le Jayenge. Even then it comes second to this masterpiece.",positive
"This is the single greatest movie I have ever seen. Davey/Mr. Slaussen is simultaneously: 1) Tortured about his talents (e.g., ""I can control it; I can! I shouldn't have to hiiiide it! It feeeeeeeeeels good!""); 2) Desperate to make friends, e.g., ""How's the soup? ""The soup is very good."" ""Would you like some crackers with your soup?"" ""I'd like some more crackers, please."" ""How's that?"" ""Yes, the soup is very good."" 3) Proud of his accomplishments (e.g. ""Pretty neat trick, huh?"") 4) A ladies man (e.g., ""You're so pretty. Why don't you like me?""); and 5) Sometimes, very, very angry (e.g., ""You can't get away!"") Connors should have received an academy award for best actor for this movie. I mean, who was possibly better?! Tanya Roberts rocketed to the stratosphere following her performance in TT. It's a wonder not all of the stars of this masterpiece did not go on to have brilliant careers. I highly, highly recommend this film! It's available on amazon.com. Everyone should own it. Make a night of it and have a bowl of soup while you watch.",positive
"This film gets off to a bad start. An incredibly corny monologue is followed immediately by a brilliantly-done, truly amazing spaceship crash. Then things go downhill again, as you realize that the survivors are all a) bad actors (apart from the docking pilot and the psychopath) and b) almost all of them fit too nicely into the role of monster-fodder. Hell, half of them don't even speak English, preventing the audience from getting to know the characters at all. You feel as if you were watching ""Deep Blue Sea"" meets ""Silence of the Lambs"", minus the good bits. And unfortunately, the entire thing tries to hard to be ""Crashed on a desert planet with Hannibal Lecter"" during the daylight scenes. Vin Diesel is a great actor - but he is no Anthony Hopkins, and he frankly annoys as the smart hyper-cool psycho. There is at least one very good scene involving an unexpected survivor - but apart from that you could just as well have cut out the first thirty minutes or so... But then things take a turn. I can't exactly pinpoint the moment, but soon the movie gets a lot better. It also feels less chopped - the scenes actually begin to follow each other with a consistent narrative, and Vin Diesel becomes much less annoying and soon he is a show-stealer. By the time the first monsters appear, the film is actually quite enjoyable. By the time night falls, it is great. Thrilling, horrifying and exciting. And even the character development of most main characters is well-done. If you can just sit through the poor bits at the start you're in for some GREAT entertainment. Besides, the visuals are eye-candy, and I honestly admit: I love the colour and the tone of this movie. 7/10 (could have been 9/10, if only....)",positive
"i though this film was okay.i din't think it was great.it was a bit too slow for my taste.lots of drama,but not very much action until close to the end of the film.this movie was basically a dramatic film,with the payoff,if you can call it that,not until near the end.to me,the scenes of the dam bursting and the water flooding the town,were okay,but much too brief.the film itself is done okay,the acting is decent,but it just didn't do it for me,in the long run.think it had something to do with the fact that there was very little suspense or tension built through the whole movie.at least that's what i think.the other factor is that i had just recently watched '10.5' and its sequel '10.5:Apocalypse'.these are 2 big budget ""event movies,which,in my opinion, are a very hard act to follow,in terms of special effects and scenes of destruction.as a result,i have to rate Killer Flood:the Day the Damn Broke at 4/10",negative
